vendorID,datetime,locationID,car_type
2,2017-01-01 00:07:52,61,green
1,2017-01-01 00:07:53,244,green
2,2017-01-01 00:07:54,223,green
2,2017-01-01 00:07:54,247,green
2,2017-01-01 00:07:54,61,green
2,2017-01-01 00:07:56,223,green
2,2017-01-01 00:07:57,175,green
2,2017-01-01 00:07:57,43,green
2,2017-01-01 00:07:57,41,green
1,2017-01-01 00:07:58,166,green
2,2017-01-01 00:07:59,66,green
2,2017-01-01 00:08:00,25,green
2,2017-01-01 00:08:02,7,green
2,2017-01-01 00:08:02,37,green
2,2017-01-01 00:08:02,189,green
2,2017-01-01 00:08:03,25,green
2,2017-01-01 00:08:04,49,green
2,2017-01-01 00:08:05,256,green
1,2017-01-01 00:08:08,181,green
2,2017-01-01 00:08:08,75,green
1,2017-01-01 00:08:09,129,green
2,2017-01-01 00:08:09,166,green
2,2017-01-01 00:08:09,74,green
1,2017-01-01 00:08:10,145,green
2,2017-01-01 00:08:11,225,green
2,2017-01-01 00:08:11,225,green
2,2017-01-01 00:08:12,133,green
2,2017-01-01 00:08:15,112,green
2,2017-01-01 00:08:16,174,green
2,2017-01-01 00:08:18,112,green
2,2017-01-01 00:08:19,255,green
2,2017-01-01 00:08:20,25,green
2,2017-01-01 00:08:21,151,green
2,2017-01-01 00:08:22,181,green
2,2017-01-01 00:08:25,145,green
1,2017-01-01 00:08:27,83,green
2,2017-01-01 00:08:27,33,green
2,2017-01-01 00:08:27,41,green
2,2017-01-01 00:08:28,112,green
2,2017-01-01 00:08:29,255,green
2,2017-01-01 00:08:29,255,green
2,2017-01-01 00:08:30,25,green
2,2017-01-01 00:08:31,25,green
2,2017-01-01 00:08:32,112,green
2,2017-01-01 00:08:33,188,green
1,2017-01-01 00:08:33,66,green
1,2017-01-01 00:08:34,188,green
2,2017-01-01 00:08:34,106,green
2,2017-01-01 00:08:36,179,green
1,2017-01-01 00:08:40,82,green
2,2017-01-01 00:08:41,82,green
1,2017-01-01 00:08:42,80,green
2,2017-01-01 00:08:42,255,green
2,2017-01-01 00:08:44,97,green
2,2017-01-01 00:08:44,181,green
2,2017-01-01 00:08:44,223,green
2,2017-01-01 00:08:46,254,green
2,2017-01-01 00:08:48,33,green
2,2017-01-01 00:08:48,255,green
2,2017-01-01 00:08:51,255,green
2,2017-01-01 00:08:52,7,green
2,2017-01-01 00:08:52,77,green
2,2017-01-01 00:08:52,181,green
2,2017-01-01 00:08:53,82,green
2,2017-01-01 00:08:53,255,green
2,2017-01-01 00:08:53,61,green
2,2017-01-01 00:08:55,7,green
2,2017-01-01 00:08:55,255,green
2,2017-01-01 00:08:55,255,green
2,2017-01-01 00:08:56,97,green
1,2017-01-01 00:08:57,49,green
2,2017-01-01 00:08:58,129,green
2,2017-01-01 00:08:59,41,green
2,2017-01-01 00:09:00,74,green
2,2017-01-01 00:09:00,82,green
2,2017-01-01 00:09:00,260,green
1,2017-01-01 00:09:02,129,green
2,2017-01-01 00:09:02,41,green
1,2017-01-01 00:09:05,41,green
2,2017-01-01 00:09:06,42,green
2,2017-01-01 00:09:08,112,green
2,2017-01-01 00:09:08,173,green
2,2017-01-01 00:09:08,47,green
2,2017-01-01 00:09:09,226,green
2,2017-01-01 00:09:09,42,green
2,2017-01-01 00:09:11,226,green
1,2017-01-01 00:09:11,7,green
2,2017-01-01 00:09:11,7,green
2,2017-01-01 00:09:12,7,green
2,2017-01-01 00:09:12,182,green
2,2017-01-01 00:09:13,236,green
2,2017-01-01 00:09:14,153,green
1,2017-01-01 00:09:14,95,green
2,2017-01-01 00:09:15,166,green
2,2017-01-01 00:09:15,42,green
1,2017-01-01 00:09:15,255,green
1,2017-01-01 00:09:15,80,green
2,2017-01-01 00:09:15,42,green
1,2017-01-01 00:09:16,181,green
2,2017-01-01 00:09:17,231,green
2,2017-01-01 00:09:17,188,green
1,2017-01-01 00:09:18,65,green
2,2017-01-01 00:09:18,42,green
2,2017-01-01 00:09:19,122,green
2,2017-01-01 00:09:20,241,green
2,2017-01-01 00:09:20,223,green
2,2017-01-01 00:09:21,75,green
2,2017-01-01 00:09:21,66,green
2,2017-01-01 00:09:21,255,green
2,2017-01-01 00:09:22,80,green
2,2017-01-01 00:09:23,173,green
2,2017-01-01 00:09:23,42,green
2,2017-01-01 00:09:25,73,green
1,2017-01-01 00:09:25,256,green
2,2017-01-01 00:09:28,66,green
2,2017-01-01 00:09:28,225,green
2,2017-01-01 00:09:31,7,green
1,2017-01-01 00:09:32,75,green
2,2017-01-01 00:09:33,7,green
2,2017-01-01 00:09:35,41,green
1,2017-01-01 00:09:36,189,green
2,2017-01-01 00:09:37,66,green
2,2017-01-01 00:09:38,238,green
2,2017-01-01 00:09:39,256,green
2,2017-01-01 00:09:40,25,green
2,2017-01-01 00:09:41,181,green
2,2017-01-01 00:09:41,49,green
1,2017-01-01 00:09:41,181,green
2,2017-01-01 00:09:43,83,green
1,2017-01-01 00:09:44,179,green
1,2017-01-01 00:09:44,75,green
2,2017-01-01 00:09:45,7,green
2,2017-01-01 00:09:45,112,green
2,2017-01-01 00:09:46,95,green
1,2017-01-01 00:09:46,7,green
2,2017-01-01 00:09:46,80,green
2,2017-01-01 00:09:46,112,green
2,2017-01-01 00:09:46,74,green
2,2017-01-01 00:09:48,91,green
2,2017-01-01 00:09:49,130,green
2,2017-01-01 00:09:50,36,green
2,2017-01-01 00:09:51,82,green
2,2017-01-01 00:09:51,49,green
2,2017-01-01 00:09:53,116,green
1,2017-01-01 00:09:54,236,green
2,2017-01-01 00:09:55,189,green
2,2017-01-01 00:09:55,25,green
2,2017-01-01 00:09:56,181,green
2,2017-01-01 00:09:57,75,green
1,2017-01-01 00:09:59,41,green
2,2017-01-01 00:09:59,74,green
2,2017-01-01 00:10:01,181,green
1,2017-01-01 00:10:02,80,green
2,2017-01-01 00:10:03,256,green
2,2017-01-01 00:10:03,255,green
2,2017-01-01 00:10:03,181,green
2,2017-01-01 00:10:04,74,green
1,2017-01-01 00:10:04,255,green
