datetime,locationID,car_type
2017-01-01 01:26:21,7,taxi
2017-01-01 01:26:21,18,taxi
2017-01-01 01:26:22,189,taxi
2017-01-01 01:26:22,37,taxi
2017-01-01 01:26:22,129,taxi
2017-01-01 01:26:24,106,taxi
2017-01-01 01:26:24,244,taxi
2017-01-01 01:26:26,179,taxi
2017-01-01 01:26:26,49,taxi
2017-01-01 01:26:28,74,taxi
2017-01-01 01:26:29,74,taxi
2017-01-01 01:26:30,243,taxi
2017-01-01 01:26:33,217,taxi
2017-01-01 01:26:33,41,taxi
2017-01-01 01:26:34,166,taxi
2017-01-01 01:26:34,7,taxi
2017-01-01 01:26:34,36,taxi
2017-01-01 01:26:35,66,taxi
2017-01-01 01:26:35,83,taxi
2017-01-01 01:26:35,173,taxi
2017-01-01 01:26:36,116,taxi
2017-01-01 01:26:37,146,taxi
2017-01-01 01:26:39,37,taxi
2017-01-01 01:26:39,208,taxi
2017-01-01 01:26:40,181,taxi
2017-01-01 01:26:40,256,taxi
2017-01-01 01:26:41,129,taxi
2017-01-01 01:26:41,129,taxi
2017-01-01 01:26:41,226,taxi
2017-01-01 01:26:42,18,taxi
2017-01-01 01:26:44,130,taxi
2017-01-01 01:26:45,63,taxi
2017-01-01 01:26:49,97,taxi
2017-01-01 01:26:51,65,taxi
2017-01-01 01:26:52,134,taxi
2017-01-01 01:26:53,255,taxi
2017-01-01 01:26:54,20,taxi
2017-01-01 01:26:54,190,taxi
2017-01-01 01:26:56,74,taxi
2017-01-01 01:26:57,226,taxi
2017-01-01 01:26:57,179,taxi
2017-01-01 01:26:58,173,taxi
2017-01-01 01:26:58,7,taxi
2017-01-01 01:26:58,17,taxi
2017-01-01 01:26:58,37,taxi
2017-01-01 01:26:59,69,taxi
2017-01-01 01:27:00,7,taxi
2017-01-01 01:27:01,89,taxi
2017-01-01 01:27:01,260,taxi
2017-01-01 01:27:05,255,taxi
2017-01-01 01:27:06,168,taxi
2017-01-01 01:27:07,265,taxi
2017-01-01 01:27:07,7,taxi
2017-01-01 01:27:09,29,taxi
2017-01-01 01:27:09,225,taxi
2017-01-01 01:27:10,74,taxi
2017-01-01 01:27:11,37,taxi
2017-01-01 01:27:11,80,taxi
2017-01-01 01:27:12,75,taxi
2017-01-01 01:27:13,95,taxi
2017-01-01 01:27:14,255,taxi
2017-01-01 01:27:14,189,taxi
2017-01-01 01:27:14,25,taxi
2017-01-01 01:27:16,260,taxi
2017-01-01 01:27:18,243,taxi
2017-01-01 01:27:19,223,taxi
2017-01-01 01:27:19,112,taxi
2017-01-01 01:27:20,80,taxi
2017-01-01 01:27:20,82,taxi
2017-01-01 01:27:21,42,taxi
