LocationID,Borough,Zone,service_zone,lat,lon,"lat,lon",lat_6,lon_6,geohash_6
67,Brooklyn,Dyker Heights,Boro Zone,40.6216335,-74.01119491901551,"(40.6216335, -74.0111949190155)",40.62,-74.0,dr5r5f
68,Manhattan,East Chelsea,Yellow Zone,40.7464906,-74.00152829999999,"(40.7464906, -74.0015283)",40.75,-74.0,dr5ru1
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.82386815,-73.9211809121883,"(40.82386815, -73.9211809121883)",40.82,-73.9,dr72jz
70,Queens,East Elmhurst,Boro Zone,40.7612123,-73.8651358,"(40.7612123, -73.8651358)",40.76,-73.9,dr5rzh
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.635816999999996,-73.953423,"(40.635817, -73.953423)",40.64,-74.0,dr5rjj
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.69395585,-73.9931490556427,"(40.69395585, -73.9931490556427)",40.7,-74.0,dr5rs0
73,Queens,East Flushing,Boro Zone,40.7654301,-73.8174291,"(40.7654301, -73.8174291)",40.77,-73.8,dr5xbj
74,Manhattan,East Harlem North,Boro Zone,40.7947222,-73.9425,"(40.7947222, -73.9425)",40.79,-73.9,dr72j6
75,Manhattan,East Harlem South,Boro Zone,40.7947222,-73.9425,"(40.7947222, -73.9425)",40.79,-73.9,dr72j6
76,Brooklyn,East New York,Boro Zone,40.6501038,-73.9495823,"(40.6501038, -73.9495823)",40.65,-74.0,dr5rm0
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.664650099999996,-73.894767,"(40.6646501, -73.894767)",40.66,-73.9,dr5rq6
78,Bronx,East Tremont,Boro Zone,40.845378100000005,-73.8909693,"(40.8453781, -73.8909693)",40.84,-73.9,dr72qe
79,Manhattan,East Village,Yellow Zone,40.7292688,-73.9873613,"(40.7292688, -73.9873613)",40.73,-74.0,dr5rsq
80,Brooklyn,East Williamsburg,Boro Zone,40.7044164,-73.93661290000001,"(40.7044164, -73.9366129)",40.71,-73.9,dr5rtd
81,Bronx,Eastchester,Boro Zone,40.8884329,-73.82818950000001,"(40.8884329, -73.8281895)",40.89,-73.8,dr72xg
82,Queens,Elmhurst,Boro Zone,40.7365804,-73.8783932,"(40.7365804, -73.8783932)",40.73,-73.9,dr5rwz
83,Queens,Elmhurst/Maspeth,Boro Zone,40.723158000000005,-73.912637,"(40.723158, -73.912637)",40.72,-73.9,dr5rwj
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,40.5445496,-74.1765324,"(40.5445496, -74.1765324)",40.54,-74.2,dr5q8h
